(291, 'B4', 'Zanair', '', '', 0, 'AmadeusProvider', 'false'),
(292, 'B5', 'East African Safari Air', '', '', 0, 'AmadeusProvider', 'true'),
(293, 'B6', 'JetBlue', '', '', 0, 'AmadeusProvider;TravelFusion2Provider', 'true'),
(294, 'B7', 'UNI Airways', '', '', 0, 'AmadeusProvider', 'false'),
(295, 'B8', 'Eritrean Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(296, 'B9', 'Iran Air Tours', '', '', 0, 'AmadeusProvider', 'false'),
(297, 'BA', 'British', '', '', 0, 'AmadeusProvider;TravelFusion2Provider', 'true'),
(298, 'BB', 'Seaborne Airlines', '', '', 0, 'AmadeusProvider', 'false'),
(299, 'BC', 'Skymark Airlines', '', '', 0, 'AmadeusProvider', 'false'),
(300, 'BD', 'BMI', '', '', 0, '\nAmadeusProvider;ERetailWebFareProvider;TravelFusionProvider\n', 'true'),
(301, 'BE', 'Flybe', '', '', 0, '\nAmadeusProvider;ERetailWebFareProvider;TravelFusionProvider\n', 'true'),
(302, 'BF', 'Vincent Aviation', '', '', 0, 'AmadeusProvider', 'false'),
(303, 'BG', 'Biman Bangladesh Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(304, 'BH', 'Hawkair', '', '', 0, 'AmadeusProvider', 'true'),
(305, 'BI', 'Royal Brunei', '', '', 0, 'AmadeusProvider', 'true'),
(306, 'BJ', 'Nouvelair', '', '', 0, 'AmadeusProvider', 'true'),
(307, 'BK', 'Okay Airways', '', '', 0, 'AmadeusProvider', 'false'),
(308, 'BL', 'Jetstar Pacific Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(309, 'BM', 'Air Bee Spa', '', '', 0, 'AmadeusProvider', 'false'),
(310, 'BN', 'Horizon Airlines', '', '', 0, 'AmadeusProvider', 'false'),
(311, 'BP', 'Air Botswana', '', '', 0, 'AmadeusProvider', 'true'),
(312, 'BQ', 'Bukovyna Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(313, 'BR', 'Eva Air', '', '', 0, 'AmadeusProvider', 'true'),
(314, 'BS', 'British International', '', '', 0, 'AmadeusProvider', 'false'),
(315, 'BT', 'Air Baltic', '', '', 0, 'AmadeusProvider', 'true'),
